Sentence #,Word,POS,Tag
Sentence: 27,Henan,NNS,B-LOC
,(,NNS,O
,河南,NNS,O
,),NNS,O
Sentence: 28,Kurikinka,NNS,B-LOC
,'Phalcoboenus,NNS,O
,carunculatus,NNS,O
,',NNS,O
Sentence: 29,Qusqu,NNS,B-LOC
,suyu,NNS,I-LOC
,",",NNS,O
,Killapampa,NNS,B-LOC
,pruwinsya,NNS,I-LOC
,",",NNS,O
,Willkapampa,NNS,B-LOC
,distritu,NNS,I-LOC
Sentence: 30,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1970,NNS,I-ORG
Sentence: 31,Lista,NNS,B-LOC
,:,NNS,I-LOC
,Pulitika,NNS,I-LOC
,rakiy,NNS,I-LOC
,(,NNS,I-LOC
,Buliwya,NNS,I-LOC
,),NNS,I-LOC
Sentence: 32,pusapuna,NNS,O
,San,NNS,B-LOC
,Pidru,NNS,I-LOC
,Tikina,NNS,I-LOC
,munisipyu,NNS,I-LOC
Sentence: 33,PUSAPUNA,NNS,O
,Santa,NNS,B-LOC
,Rusa,NNS,I-LOC
,distritu,NNS,I-LOC
,(,NNS,I-LOC
,Melgar,NNS,I-LOC
,),NNS,I-LOC
Sentence: 34,Jarka,NNS,B-LOC
,',NNS,O
,(,NNS,O
,Acacia,NNS,O
,visco,NNS,O
,),NNS,O
,',NNS,O
Sentence: 35,.,NNS,O
,',NNS,O
,10,NNS,O
,',NNS,O
,.,NNS,O
,Wayas,NNS,B-LOC
,marka,NNS,I-LOC
Sentence: 36,Raphiwaqracha,NNS,B-LOC
,suntu,NNS,I-LOC
,(,NNS,O
,Scarabaeidae,NNS,O
,),NNS,O
Sentence: 37,Uchuy,NNS,B-LOC
,sach'a,NNS,I-LOC
,allqu,NNS,I-LOC
,',NNS,O
,(,NNS,O
,Speothos,NNS,O
,venaticus,NNS,O
,),NNS,O
,',NNS,O
Sentence: 38,Kamasqa,NNS,O
,",",NNS,O
,Ollanta,NNS,B-PER
,Humala,NNS,I-PER
,Umalliqmi,NNS,O
,.,NNS,O
Sentence: 39,Mesut,NNS,B-PER
,Özil,NNS,I-PER
,-,NNS,O
,9,NNS,O
,.,NNS,O
Sentence: 40,REDIRECCIÓN,NNS,O
,Antamarka,NNS,B-LOC
,distritu,NNS,I-LOC
,(,NNS,I-LOC
,Lima,NNS,I-LOC
,),NNS,I-LOC
Sentence: 41,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1938,NNS,I-ORG
Sentence: 42,Antonio,NNS,B-PER
,José,NNS,I-PER
,de,NNS,I-PER
,Sucre,NNS,I-PER
,.,NNS,O
Sentence: 43,**,NNS,O
,Trumpun,NNS,B-ORG
,',NNS,O
,(,NNS,O
,Trombone,NNS,O
,),NNS,O
,',NNS,O
Sentence: 44,Murlupu,NNS,B-ORG
,waska,NNS,I-ORG
,/,NNS,O
,Mushupa,NNS,O
,shillu,NNS,O
,/,NNS,O
,Mushupa,NNS,O
,shilluk,NNS,O
,',NNS,O
,(,NNS,O
,Uncaria,NNS,O
,tomentosa,NNS,O
,),NNS,O
,',NNS,O
Sentence: 45,Franz,NNS,B-PER
,(,NNS,I-PER
,Ferenc,NNS,I-PER
,),NNS,I-PER
,Liszt,NNS,I-PER
,-,NNS,O
Sentence: 46,Kashamarka,NNS,B-LOC
,suyu,NNS,I-LOC
,",",NNS,O
,Kashapampa,NNS,B-LOC
,pruwinsya,NNS,I-LOC
,",",NNS,O
,Kachachi,NNS,B-LOC
,distritu,NNS,I-LOC
Sentence: 47,Chilipi,NNS,B-ORG
,amachasqa,NNS,I-ORG
,sallqa,NNS,I-ORG
,suyukuna,NNS,I-ORG
Sentence: 48,Tampupata,NNS,B-LOC
,mama,NNS,I-LOC
,llaqta,NNS,I-LOC
,risirwa,NNS,I-LOC
Sentence: 49,Antonio,NNS,B-PER
,Vivaldi,NNS,I-PER
,",",NNS,O
,conciertos,NNS,O
,para,NNS,O
,oboe,NNS,O
,.,NNS,O
Sentence: 50,Cajas,NNS,B-LOC
,mama,NNS,I-LOC
,llaqta,NNS,I-LOC
,parki,NNS,I-LOC
Sentence: 51,PUSAPUNA,NNS,O
,Centre,NNS,B-LOC
,(,NNS,I-LOC
,Ransiya,NNS,I-LOC
,),NNS,I-LOC
Sentence: 52,.,NNS,O
,',NNS,O
,Denis,NNS,B-PER
,Law,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 53,Machalilla,NNS,B-ORG
,mama,NNS,I-ORG
,llaqta,NNS,I-ORG
,parki,NNS,I-ORG
Sentence: 54,Wirrinatu,NNS,B-LOC
,Musuq,NNS,I-LOC
,Ispaña,NNS,I-LOC
Sentence: 55,Pisarruta,NNS,B-PER
,willaq,NNS,O
,kastillakimanta,NNS,O
,;,NNS,O
,nirku,NNS,O
,mana,NNS,O
,alli,NNS,O
,tikranaq,NNS,O
,",",NNS,O
,chayqa,NNS,O
,sipiyaraqan,NNS,O
,Ataw,NNS,O
,wallpata,NNS,O
,.,NNS,O
Sentence: 56,Anka,NNS,B-LOC
,'Geranoaetus,NNS,O
,melanoleucus,NNS,O
,',NNS,O
Sentence: 57,pusapuna,NNS,O
,Mama,NNS,B-ORG
,Llaqtap,NNS,I-ORG
,San,NNS,I-ORG
,Antonio,NNS,I-ORG
,Abad,NNS,I-ORG
,Yachay,NNS,I-ORG
,Sunturnin,NNS,I-ORG
Sentence: 58,REDIRECCIÓN,NNS,O
,Baños,NNS,B-LOC
,kitilli,NNS,I-LOC
,(,NNS,I-LOC
,Asway,NNS,I-LOC
,),NNS,I-LOC
Sentence: 59,.,NNS,O
,',NNS,O
,Nicolás,NNS,B-PER
,de,NNS,I-PER
,Piérola,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 60,.,NNS,O
,',NNS,O
,Miguel,NNS,B-PER
,Iglesias,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 61,**,NNS,O
,',NNS,O
,Iwrupa,NNS,B-ORG
,Huñu,NNS,I-ORG
,',NNS,O
,.,NNS,O
,.,NNS,O
Sentence: 62,.,NNS,O
,',NNS,O
,Hristo,NNS,B-PER
,Stoichkov,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 63,.,NNS,O
,',NNS,O
,Juan,NNS,B-PER
,Antonio,NNS,I-PER
,Pezet,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 64,Noel,NNS,B-ORG
,Kempff,NNS,I-ORG
,Mercado,NNS,I-ORG
,mamallaqta,NNS,I-ORG
,parki,NNS,I-ORG
Sentence: 65,Uma,NNS,B-LOC
,llaqtanqa,NNS,I-LOC
,Albany,NNS,B-LOC
,llaqtam,NNS,O
,.,NNS,O
Sentence: 66,***,NNS,O
,Waqwa,NNS,B-LOC
,',NNS,O
,(,NNS,O
,Nycticorax,NNS,O
,nycticorax,NNS,O
,),NNS,O
,',NNS,O
Sentence: 67,.,NNS,O
,',NNS,O
,Antonio,NNS,B-PER
,Alzamendi,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 68,PUSAPUNA,NNS,O
,Pakaqi,NNS,B-LOC
,Nasa,NNS,I-LOC
,Q'ara,NNS,I-LOC
,munisipyu,NNS,I-LOC
Sentence: 69,Franco,NNS,B-PER
,Baresi,NNS,I-PER
,-,NNS,O
,3,NNS,O
,.,NNS,O
Sentence: 70,Tukuy,NNS,B-ORG
,runakunap,NNS,I-ORG
,qhapaq,NNS,I-ORG
,kaynin,NNS,I-ORG
Sentence: 71,PUSAPUNA,NNS,O
,Awqaq,NNS,B-LOC
,sipaskuna,NNS,I-LOC
,mayu,NNS,I-LOC
Sentence: 72,.,NNS,O
,',NNS,O
,Giza,NNS,B-ORG
,hatun,NNS,I-ORG
,chuntu,NNS,I-ORG
,(,NNS,O
,q'apcha,NNS,O
,mañaq,NNS,O
,),NNS,O
,.,NNS,O
,',NNS,O
Sentence: 73,Gaius,NNS,B-PER
,Iulius,NNS,I-PER
,Caesar,NNS,I-PER
Sentence: 74,Teresa,NNS,B-PER
,de,NNS,I-PER
,Jesús,NNS,I-PER
,.,NNS,O
Sentence: 75,pusapuna,NNS,O
,Piruw,NNS,B-ORG
,Llamk'aqkuna,NNS,I-ORG
,Sapsi,NNS,I-ORG
,Tantanakuy,NNS,I-ORG
Sentence: 76,Qulan,NNS,B-ORG
,walla,NNS,I-ORG
,risirwa,NNS,I-ORG
,suyu,NNS,I-ORG
Sentence: 77,Tupaq,NNS,B-PER
,Amaru,NNS,I-PER
,iskay,NNS,I-PER
,ñiqin,NNS,I-PER
Sentence: 78,PUSAPUNA,NNS,O
,Misti,NNS,B-LOC
,(,NNS,I-LOC
,ariq,NNS,I-LOC
,),NNS,I-LOC
Sentence: 79,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1998,NNS,I-ORG
Sentence: 80,PUSAPUNA,NNS,O
,San,NNS,B-LOC
,Francisco,NNS,I-LOC
,(,NNS,I-LOC
,California,NNS,I-LOC
,),NNS,I-LOC
Sentence: 81,Las,NNS,B-LOC
,Palmas,NNS,I-LOC
,de,NNS,I-LOC
,Gran,NNS,I-LOC
,Canaria,NNS,I-LOC
Sentence: 82,Juan,NNS,B-PER
,Manuel,NNS,I-PER
,Vargas,NNS,I-PER
,.,NNS,O
Sentence: 83,Tumpis,NNS,B-LOC
,mama,NNS,I-LOC
,llaqta,NNS,I-LOC
,risirwa,NNS,I-LOC
Sentence: 84,Yatana,NNS,B-ORG
,takiy,NNS,I-ORG
,phukulli,NNS,I-ORG
Sentence: 85,**,NNS,O
,.,NNS,O
,',NNS,O
,Iwrupa,NNS,B-LOC
,',NNS,O
,.,NNS,O
Sentence: 86,***,NNS,O
,Quwapaq,NNS,B-LOC
,ñukch'u,NNS,I-LOC
,'Fuchsia,NNS,O
,corymbiflora,NNS,O
,',NNS,O
Sentence: 87,Chuqiyapu,NNS,B-LOC
,suyu,NNS,I-LOC
,",",NNS,O
,Pedro,NNS,B-LOC
,Domingo,NNS,I-LOC
,Murillo,NNS,I-LOC
,pruwinsya,NNS,I-LOC
,",",NNS,O
,Chuqiyapu,NNS,B-LOC
,munisipyu,NNS,I-LOC
Sentence: 88,Wankana,NNS,B-LOC
,(,NNS,O
,'Tayassu,NNS,O
,spp,NNS,O
,.,NNS,O
,',NNS,O
,),NNS,O
Sentence: 89,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1958,NNS,I-ORG
Sentence: 90,Misk'i,NNS,B-ORG
,sirinka,NNS,I-ORG
,',NNS,O
,(,NNS,O
,Flauto,NNS,O
,dolce,NNS,O
,),NNS,O
,',NNS,O
Sentence: 91,Pakaya-Samirya,NNS,B-LOC
,mama,NNS,I-LOC
,llaqta,NNS,I-LOC
,risirwa,NNS,I-LOC
Sentence: 92,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1970,NNS,I-ORG
Sentence: 93,.,NNS,O
,',NNS,O
,JESUS,NNS,B-PER
,VON,NNS,I-PER
,NAZARETH,NNS,I-PER
,',NNS,O
,.,NNS,O
,',NNS,O
,(,NNS,O
,2007,NNS,O
,),NNS,O
Sentence: 94,.,NNS,O
,',NNS,O
,Igor,NNS,B-PER
,Belanov,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 95,Pakaya-Samirya,NNS,B-LOC
,mama,NNS,I-LOC
,llaqta,NNS,I-LOC
,risirwa,NNS,I-LOC
Sentence: 96,Ch'umpi,NNS,B-LOC
,churu,NNS,I-LOC
,k'usillu,NNS,I-LOC
,'Lagothrix,NNS,O
,lagotricha,NNS,O
,',NNS,O
Sentence: 97,Apulupampa,NNS,B-ORG
,sallqa,NNS,I-ORG
,pacha,NNS,I-ORG
,suyu,NNS,I-ORG
Sentence: 98,.,NNS,O
,',NNS,O
,Justo,NNS,B-PER
,Figuerola,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 99,.,NNS,O
,',NNS,O
,Antonio,NNS,B-PER
,José,NNS,I-PER
,de,NNS,I-PER
,Sucre,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 100,.,NNS,O
,',NNS,O
,Justiniano,NNS,B-PER
,Borgoño,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 101,Tupaq,NNS,B-PER
,Amaru,NNS,I-PER
,iskay,NNS,I-PER
,ñiqin,NNS,I-PER
Sentence: 102,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1982,NNS,I-ORG
Sentence: 103,Joya,NNS,B-LOC
,de,NNS,I-LOC
,los,NNS,I-LOC
,Sachas,NNS,I-LOC
,kiti,NNS,I-LOC
Sentence: 104,.,NNS,O
,',NNS,O
,José,NNS,B-PER
,Pardo,NNS,I-PER
,y,NNS,I-PER
,Barreda,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 105,PUSAPUNA,NNS,O
,Awya,NNS,B-LOC
,Yala,NNS,I-LOC
,(,NNS,I-LOC
,Mulanpi,NNS,I-LOC
,),NNS,I-LOC
Sentence: 106,Tarikiya,NNS,B-ORG
,flora,NNS,I-ORG
,faunapas,NNS,I-ORG
,mama,NNS,I-ORG
,llaqta,NNS,I-ORG
,risirwa,NNS,I-ORG
Sentence: 107,Chiwlipakuy,NNS,B-LOC
,',NNS,O
,(,NNS,O
,Turdus,NNS,O
,ignobilis,NNS,O
,),NNS,O
,',NNS,O
Sentence: 108,Sergio,NNS,B-PER
,Ramos,NNS,I-PER
,-,NNS,O
,16,NNS,O
,.,NNS,O
Sentence: 109,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,2014,NNS,I-ORG
Sentence: 110,Cercado,NNS,O
,pruwinsya]],NNS,O
,",",NNS,O
,Moxos,NNS,B-LOC
,pruwinsya,NNS,I-LOC
,",",NNS,O
,Marbán,NNS,B-LOC
,pruwinsya,NNS,I-LOC
,",",NNS,O
,José,NNS,B-LOC
,Ballivián,NNS,I-LOC
,pruwinsya,NNS,I-LOC
Sentence: 111,.,NNS,O
,',NNS,O
,James,NNS,B-PER
,Monroe,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 112,Podocarpus,NNS,B-ORG
,mama,NNS,I-ORG
,llaqta,NNS,I-ORG
,parki,NNS,I-ORG
Sentence: 113,pusapuna,NNS,O
,Ismael,NNS,B-ORG
,Montes,NNS,I-ORG
,Jatun,NNS,I-ORG
,Yachay,NNS,I-ORG
,Wasi,NNS,I-ORG
,Yachachiqkunaq,NNS,I-ORG
,Wakichikunankupaq,NNS,I-ORG
Sentence: 114,Piruwanu,NNS,B-ORG
,Nasyunalista,NNS,I-ORG
,Partidu,NNS,I-ORG
Sentence: 115,pusapuna,NNS,O
,Piruw,NNS,B-ORG
,Chakraruna,NNS,I-ORG
,Hatun,NNS,I-ORG
,Tantanakuy,NNS,I-ORG
Sentence: 116,PUSAPUNA,NNS,O
,Utishi,NNS,B-ORG
,mamallaqta,NNS,I-ORG
,wari,NNS,I-ORG
,kancha,NNS,I-ORG
Sentence: 117,Vicente,NNS,B-ORG
,Pérez,NNS,I-ORG
,Rosales,NNS,I-ORG
,mama,NNS,I-ORG
,llaqta,NNS,I-ORG
,parkipi,NNS,I-ORG
Sentence: 118,Hukllawasqa,NNS,O
,Nacionkunapa,NNS,O
,reqsichisqan,NNS,O
,llapa,NNS,O
,runakunapa,NNS,O
,derechonkuna,NNS,O
,(,NNS,O
,ZIP,NNS,O
,file,NNS,O
,",",NNS,O
,SIL,NNS,B-ORG
,),NNS,O
Sentence: 119,Susyalismuman,NNS,B-ORG
,Rikch'arimuy,NNS,I-ORG
,(,NNS,I-ORG
,Buliwya,NNS,I-ORG
,),NNS,I-ORG
Sentence: 120,.,NNS,O
,',NNS,O
,Francisco,NNS,B-PER
,de,NNS,I-PER
,Luna,NNS,I-PER
,Pizarro,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 121,T'uru,NNS,B-ORG
,T'uru,NNS,B-ORG
,mamallaqta,NNS,I-ORG
,parki,NNS,I-ORG
Sentence: 122,PUSAPUNA,NNS,O
,San,NNS,B-LOC
,Miguel,NNS,I-LOC
,(,NNS,I-LOC
,Kutupaksi,NNS,I-LOC
,),NNS,I-LOC
Sentence: 123,.,NNS,O
,',NNS,O
,Liyun,NNS,B-PER
,VI,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 124,.,NNS,O
,',NNS,O
,Butros,NNS,B-PER
,Butros-Ghali,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 125,K'illichu,NNS,B-LOC
,'Falco,NNS,O
,sparverius,NNS,O
,',NNS,O
Sentence: 126,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,2006,NNS,I-ORG
Sentence: 127,Juan,NNS,B-PER
,Domingo,NNS,I-PER
,Perón,NNS,I-PER
Sentence: 128,.,NNS,O
,',NNS,O
,Lizardo,NNS,B-PER
,Montero,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 129,David,NNS,B-PER
,Trezeguet,NNS,I-PER
,-,NNS,O
,21,NNS,O
,.,NNS,O
Sentence: 130,pusapuna,NNS,O
,Jean-Baptiste,NNS,B-PER
,de,NNS,I-PER
,Lamarck,NNS,I-PER
Sentence: 131,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1930,NNS,I-ORG
Sentence: 132,Gerd,NNS,B-PER
,Müller,NNS,I-PER
,-,NNS,O
,14,NNS,O
,.,NNS,O
Sentence: 133,Puebla,NNS,B-ORG
,de,NNS,I-ORG
,Zaragoza,NNS,I-ORG
,",",NNS,O
,Puebla,NNS,B-LOC
Sentence: 134,.,NNS,O
,',NNS,O
,Chelsea,NNS,B-ORG
,FC,NNS,I-ORG
,',NNS,O
,.,NNS,O
Sentence: 135,Chilipi,NNS,B-ORG
,amachasqa,NNS,I-ORG
,sallqa,NNS,I-ORG
,suyukuna,NNS,I-ORG
Sentence: 136,Liszt,NNS,B-PER
,",",NNS,I-PER
,Franz,NNS,I-PER
,(,NNS,O
,1811-1886,NNS,O
,),NNS,O
Sentence: 137,**,NNS,O
,Waraniyi,NNS,B-ORG
,simi,NNS,I-ORG
,(,NNS,O
,7,NNS,O
,hunuchá,NNS,O
,rimaqniyuq,NNS,O
,),NNS,O
Sentence: 138,3,NNS,O
,GP,NNS,B-LOC
,de,NNS,I-LOC
,Hungría,NNS,I-LOC
,(,NNS,O
,1988-1991-1992,NNS,O
,),NNS,O
Sentence: 139,José,NNS,B-PER
,de,NNS,I-PER
,la,NNS,I-PER
,Mar,NNS,I-PER
Sentence: 140,Ika,NNS,B-LOC
,suyu,NNS,I-LOC
,",",NNS,O
,Naska,NNS,B-LOC
,pruwinsya,NNS,I-LOC
Sentence: 141,Warmi,NNS,B-ORG
,unquy,NNS,I-ORG
,hampikamayuq,NNS,I-ORG
,-,NNS,O
,ginecólogo,NNS,O
Sentence: 142,Jürgen,NNS,B-PER
,Klinsmann,NNS,I-PER
,-,NNS,O
,19,NNS,O
,.,NNS,O
Sentence: 143,Ullantaytampu,NNS,B-LOC
,(,NNS,O
,kunankamapas,NNS,O
,llaqtayuq,NNS,O
,",",NNS,O
,2.792,NNS,O
,m,NNS,O
,hanaq,NNS,O
,),NNS,O
Sentence: 144,PUSAPUNA,NNS,O
,Laram,NNS,B-ORG
,Q'awa,NNS,I-ORG
,urqu,NNS,I-ORG
,(,NNS,I-ORG
,Paqaqi,NNS,I-ORG
,),NNS,I-ORG
Sentence: 145,Bobby,NNS,B-PER
,Charlton,NNS,I-PER
,-,NNS,O
,10,NNS,O
,.,NNS,O
Sentence: 146,.,NNS,O
,',NNS,O
,Andrés,NNS,B-PER
,de,NNS,I-PER
,Santa,NNS,I-PER
,Cruz,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 147,.,NNS,O
,',NNS,O
,Simón,NNS,B-PER
,Bolívar,NNS,I-PER
,',NNS,O
,.,NNS,O
Sentence: 148,.,NNS,O
,',NNS,O
,Santos,NNS,B-ORG
,FC,NNS,I-ORG
,',NNS,O
,.,NNS,O
Sentence: 149,Susyalismuman,NNS,B-ORG
,Rikch'arimuy,NNS,I-ORG
,(,NNS,I-ORG
,Buliwya,NNS,I-ORG
,),NNS,I-ORG
Sentence: 150,Toribio,NNS,B-PER
,Rodríguez,NNS,I-PER
,de,NNS,I-PER
,Mendoza,NNS,I-PER
Sentence: 151,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,2006,NNS,I-ORG
Sentence: 152,Manqu,NNS,B-PER
,Qhapaq,NNS,I-PER
,iskay,NNS,I-PER
,ñiqin,NNS,I-PER
Sentence: 153,Villarrica,NNS,B-ORG
,mama,NNS,I-ORG
,llaqta,NNS,I-ORG
,parki,NNS,I-ORG
Sentence: 154,Basilika,NNS,O
,Katidral,NNS,O
,",",NNS,O
,Ariqipa,NNS,B-LOC
,llaqtapi,NNS,O
Sentence: 155,Qirupampa,NNS,B-LOC
,pruwinsya,NNS,I-LOC
,(,NNS,O
,'Sucre,NNS,O
,',NNS,O
,),NNS,O
Sentence: 156,(,NNS,O
,Yawar,NNS,B-ORG
,wiqi,NNS,I-ORG
,),NNS,O
,'Ochroma,NNS,O
,sp,NNS,O
,.,NNS,O
,',NNS,O
Sentence: 157,Intimpa,NNS,B-LOC
,(,NNS,O
,'Podocarpus,NNS,O
,glomeratus,NNS,O
,',NNS,O
,),NNS,O
Sentence: 158,30px]],NNS,O
,',NNS,O
,Arhintina,NNS,B-LOC
,',NNS,O
,.,NNS,O
Sentence: 159,Piluta,NNS,B-ORG
,Hayt'ay,NNS,I-ORG
,Pachantin,NNS,I-ORG
,Kupa,NNS,I-ORG
,1990,NNS,I-ORG
,.,NNS,O
Sentence: 160,Manuripi-Heath,NNS,B-ORG
,Amarumayu,NNS,I-ORG
,sallqa,NNS,I-ORG
,kawsay,NNS,I-ORG
,mamallaqta,NNS,I-ORG
,risirwa,NNS,I-ORG
Sentence: 161,Kamasqa,NNS,O
,",",NNS,O
,Alan,NNS,B-PER
,García,NNS,I-PER
,Umalliqmi,NNS,O
,.,NNS,O
Sentence: 162,Tupaq,NNS,B-PER
,Amaru,NNS,I-PER
,iskay,NNS,I-PER
,ñiqin,NNS,I-PER
Sentence: 163,Ayakuchu,NNS,B-LOC
,suyu,NNS,I-LOC
,",",NNS,O
,Wanta,NNS,B-LOC
,pruwinsya,NNS,I-LOC
,",",NNS,O
,Wanta,NNS,B-LOC
,distritu,NNS,I-LOC
Sentence: 164,Giuseppe,NNS,B-PER
,Meazza,NNS,I-PER
,-,NNS,O
,21,NNS,O
,.,NNS,O
Sentence: 165,John,NNS,B-PER
,Ronald,NNS,I-PER
,Reuel,NNS,I-PER
,Tolkien,NNS,I-PER
Sentence: 166,Muqiwa,NNS,B-LOC
,suyu,NNS,I-LOC
,",",NNS,O
,General,NNS,B-LOC
,Sánchez,NNS,I-LOC
,Cerro,NNS,I-LOC
